Airport,Runway
639. Jackson (JAN),8500 (2591 m)
640. Mount Pleasant (MPN),8497 (2591 m)
641. Bulawayo (BUQ),8491 (2589 m)
642. Alexandroupolis (AXD),8471 (2583 m)
643. Juneau (JNU),8457 (2578 m)
644. Herat (HEA),8435 (2572 m)
645. Neuquen (NQN),8431 (2570 m)
646. Rockhampton (ROK),8425 (2569 m)
647. South Bend (SBN),8414 (2565 m)
648. Waterloo (ALO),8400 (2561 m)
649. Trelew (REL),8399 (2561 m)
650. Mt Isa (ISA),8399 (2561 m)
651. Bloemfontein (BFN),8395 (2559 m)
652. Edinburgh (EDI),8386 (2557 m)
653. Stavanger (SVG),8386 (2557 m)
654. Krakow (KRK),8366 (2551 m)
655. Menorca (MAH),8366 (2551 m)
656. Split (SPU),8366 (2551 m)
657. Ohrid (OHD),8366 (2551 m)
658. Tampico (TAM),8366 (2551 m)
659. Shreveport (SHV),8351 (2546 m)
660. Pune (PNQ),8329 (2539 m)
661. Burlington (BTV),8320 (2537 m)
662. Saskatoon (YXE),8300 (2530 m)
663. Little Rock (LIT),8273 (2522 m)
664. Chiclayo (CIX),8266 (2520 m)
665. Broken Hill (BHQ),8251 (2516 m)
666. Vilnius (VNO),8250 (2515 m)
667. Ust-kamenogorsk (UKK),8235 (2511 m)
668. Medellin (EOH),8234 (2510 m)
669. Vano-Frankovsk (IFO),8226 (2508 m)
670. Pristina (PRN),8210 (2503 m)
671. Usinsk (USK),8209 (2503 m)
672. Oulu (OUL),8205 (2502 m)
673. Akron-Canton (CAK),8204 (2501 m)
674. Riverton (RIW),8203 (2501 m)
675. Bafoussam (BFX),8203 (2501 m)
676. Iloilo (ILO),8203 (2501 m)
677. Port Hedland (PHE),8202 (2501 m)
678. Iquitos (IQT),8202 (2501 m)
679. Tacna (TCQ),8202 (2501 m)
680. Lodz (LCJ),8202 (2501 m)
681. Volgograd (VOG),8202 (2501 m)
682. La Paz (LAP),8202 (2501 m)
683. Arkhangelsk (ARH),8202 (2501 m)
684. Isiro (IRP),8202 (2501 m)
685. Heihe (HEK),8202 (2501 m)
686. Murmansk (MMK),8202 (2501 m)
687. Cabinda (CAB),8202 (2501 m)
688. Banja Luka (BNX),8202 (2501 m)
689. Rijeka (RJK),8202 (2501 m)
690. Ambon (AMQ),8202 (2501 m)
691. Akita (AXT),8202 (2501 m)
692. Gao (GAQ),8202 (2501 m)
693. Campeche (CPE),8202 (2501 m)
694. Podgorica (TGD),8202 (2501 m)
695. Wroclaw (WRO),8202 (2501 m)
696. Kursk (URS),8202 (2501 m)
697. Ostersund (OSD),8202 (2501 m)
698. Turkmenbashi (KRW),8202 (2501 m)
699. Parnaiba (PHB),8202 (2501 m)
700. Niigata (KIJ),8202 (2501 m)
701. Nacala (MNC),8202 (2501 m)
702. Kaliningrad (KGD),8202 (2501 m)
703. Tomsk (TOF),8202 (2501 m)
704. Groznyy (GRV),8202 (2501 m)
705. Maastricht (MST),8202 (2501 m)
706. Zadar (ZAD),8202 (2501 m)
707. Osijek (OSI),8202 (2501 m)
708. Phuket (HKT),8201 (2500 m)
709. Jaffna (JAF),8200 (2500 m)
710. Santiago Del Estero (SDE),8197 (2499 m)
711. Faro (FAO),8169 (2491 m)
712. Dakhla (DAK),8166 (2490 m)
713. Longyearbyen (LYR),8146 (2484 m)
714. Puerto Cabezas (PUZ),8130 (2479 m)
715. Yangon (RGN),8100 (2470 m)
716. Zanzibar (ZNZ),8077 (2463 m)
717. Broome (BME),8064 (2459 m)
718. Cagayan De Oro (CGY),8050 (2454 m)
719. Mangalore (IXE),8038 (2451 m)
720. Skopje (SKP),8038 (2451 m)
721. Oaxaca (OAX),8038 (2451 m)
722. Tromso (TOS),8028 (2448 m)
723. Wilmington (ILM),8016 (2444 m)
724. Managua (MGA),8015 (2444 m)
725. Bardufoss (BDU),8015 (2444 m)
726. Boa Vista (BVC),8014 (2443 m)
727. Thessaloniki (SKG),8005 (2441 m)
728. Bari (BRI),8005 (2441 m)
729. Farnborough (FAB),8005 (2441 m)
730. Weeze (NRN),8005 (2441 m)
731. Fredericton (YFC),8005 (2441 m)
732. Saginaw (MBS),8002 (2440 m)
733. Rochester (ROC),8001 (2439 m)
734. Fletcher (AVL),8001 (2439 m)
735. Springfield (SPI),8001 (2439 m)
736. Tallahassee (TLH),8000 (2439 m)
737. Hargesia (HGA),8000 (2439 m)
738. Jessore (JSR),8000 (2439 m)
739. Moncton (YQM),8000 (2439 m)
740. Cranbrook (YXC),8000 (2439 m)
741. Santa Maria (SMX),8000 (2439 m)
742. Townsville (TSV),7999 (2439 m)
743. San Salvador (ZSA),7999 (2439 m)
744. Tamale (TML),7999 (2439 m)
745. Newcastle (NTL),7999 (2439 m)
746. Alice Springs (ASP),7998 (2438 m)
747. Nouadhibou (NDB),7956 (2426 m)
748. Porto Velho (PVH),7925 (2416 m)
749. Regina (YQR),7901 (2409 m)
750. Ajaccio (AJA),7897 (2408 m)
751. Baltra (GPS),7876 (2401 m)
752. Luena (LUO),7875 (2401 m)
753. Veracruz (VER),7874 (2401 m)
754. Juba (JUB),7874 (2401 m)
755. Akureyri (AEY),7874 (2401 m)
756. Beira (BEW),7874 (2401 m)
757. Baoshan (BSD),7874 (2401 m)
758. Ioannina (IOA),7874 (2401 m)
759. Lanzarote (ACE),7874 (2401 m)
760. Vinh City (VII),7874 (2401 m)
761. Esquel (EQS),7869 (2399 m)
762. Cardiff (CWL),7848 (2393 m)
763. San Andres Island (ADZ),7808 (2380 m)
764. Kerkyra (CFU),7792 (2376 m)
765. Pori (POR),7713 (2352 m)
766. Cucuta (CUC),7700 (2348 m)
767. Knock (NOC),7700 (2348 m)
768. Minot (MOT),7700 (2348 m)
769. Gold Coast (OOL),7683 (2342 m)
770. Silac (SLD),7678 (2341 m)
771. Lafayette (L),7651 (2333 m)
772. Wausaw (CWA),7648 (2332 m)
773. Newcastle (NCL),7641 (2330 m)
774. Rarotonga (RAR),7638 (2329 m)
775. Murcia (MJV),7612 (2321 m)
776. Santander (SDR),7612 (2321 m)
777. Yakima (YKM),7604 (2318 m)
778. Houston (HOU),7602 (2318 m)
779. Allentown (ABE),7600 (2317 m)
780. Stornoway (SYY),7595 (2316 m)
781. Cuiaba (CGB),7546 (2301 m)
782. St. Maarten (SXM),7546 (2301 m)
783. Tongliao (TGO),7546 (2301 m)
784. Le Havre (LEH),7546 (2301 m)
785. Santa Rosa (RSA),7545 (2300 m)
786. Dalanzadgad (DLZ),7545 (2300 m)
787. Eirunepe (ERN),7545 (2300 m)
788. Bost (BST),7544 (2300 m)
789. Corpus Christi (CRP),7508 (2289 m)
790. Yellowknife (YZF),7503 (2288 m)
791. Fort McMurray (YMM),7503 (2288 m)
792. Wilkes-Barre (AVP),7501 (2287 m)
793. Raipur (RPR),7500 (2287 m)
794. Gode (GDE),7500 (2287 m)
795. Baton Rouge (BTR),7500 (2287 m)
796. Liverpool (LPL),7497 (2286 m)
797. Porto Alegre (POA),7480 (2280 m)
798. Legazpi (LGP),7480 (2280 m)
799. Palanga (PLQ),7478 (2280 m)
800. Georgetown (GEO),7448 (2271 m)
801. Presque Isle (PQI),7439 (2268 m)
802. Alta (ALF),7392 (2254 m)
803. Hobart (HBA),7390 (2253 m)
804. Leeds (LBA),7382 (2251 m)
805. Palu (PLW),7382 (2251 m)
806. Bata (BSG),7369 (2247 m)
807. Thunder Bay (YQT),7318 (2231 m)
808. Zakinthos (ZTH),7310 (2229 m)
809. Sao Tome (TMS),7283 (2220 m)
810. Curitiba (CWB),7267 (2216 m)
811. Invercargill (IVC),7251 (2211 m)
812. Alexandria (ALY),7221 (2202 m)
813. Kananga (KGA),7218 (2201 m)
814. Honiara (HIR),7218 (2201 m)
815. Rotterdam (RTM),7218 (2201 m)
816. Iguassu (IGU),7218 (2201 m)
817. Nalchik (NAL),7218 (2201 m)
818. Elko (EKO),7214 (2199 m)
819. Cortez (CEZ),7205 (2197 m)
820. Koror (ROR),7200 (2195 m)
821. Portland (PWM),7200 (2195 m)
822. Wilmington (ILG),7181 (2189 m)
823. Providence (PVD),7166 (2185 m)
824. Meekatharra (MKR),7156 (2182 m)
825. Apartado (APO),7153 (2181 m)
826. Branson (BKG),7140 (2177 m)
827. Wau (WUU),7137 (2176 m)
828. Mc Allen (MFE),7120 (2171 m)
829. Belize City (BZE),7100 (2165 m)
830. London (LTN),7087 (2161 m)
831. Rio Branco (RBR),7080 (2159 m)
832. Nauru (INU),7054 (2151 m)
833. Tahoua (THZ),7053 (2150 m)
834. Tacloban (TAC),7014 (2138 m)
835. George Town (GCM),7008 (2137 m)
836. Islip (ISP),7006 (2136 m)
837. Pensacola (PNS),7004 (2135 m)
838. New York (LGA),7003 (2135 m)
839. Kitchener (YKF),7002 (2135 m)
840. Bedford (BED),7001 (2134 m)
841. Charlottetown (YYG),7000 (2134 m)
842. Victoria (YYJ),6998 (2134 m)
843. Cork (ORK),6998 (2134 m)
844. Maui (OGG),6995 (2133 m)
845. Phu Quoc (PQC),6980 (2128 m)
846. Cooma (OOM),6955 (2120 m)
847. Haugesund (HAU),6955 (2120 m)
848. Kirkenes (KKN),6939 (2116 m)
849. Timbuktu (TOM),6923 (2111 m)
850. Chacarita (JAP),6923 (2111 m)
851. Christmas Island (XCH),6900 (2104 m)
852. Cassidy (CXI),6900 (2104 m)
853. Dipolog (DPL),6890 (2101 m)
854. Rangiroa (RGI),6890 (2101 m)
855. Macapa (MCP),6890 (2101 m)
856. Samos (SMI),6890 (2101 m)
857. David (DAV),6890 (2101 m)
858. Burbank (BUR),6886 (2099 m)
859. Praia (RAI),6876 (2096 m)
860. Washington (DCA),6869 (2094 m)
861. Roatan (RTB),6857 (2091 m)
862. Charleston (CRW),6802 (2074 m)
863. Hamilton (HLZ),6755 (2059 m)
864. Dodoma (DOD),6742 (2055 m)
865. Ciudad Guayana (CGU),6726 (2051 m)
866. Bellingham (BLI),6701 (2043 m)
867. Bhopal (BHO),6700 (2043 m)
868. Kwajalein (KWA),6668 (2033 m)
869. Tegucigalpa (TGU),6631 (2022 m)
870. Bluefields (BEF),6624 (2020 m)
871. Nanaimo (YCD),6602 (2013 m)
872. Sudbury (YSB),6600 (2012 m)
873. Bristol (BRS),6598 (2012 m)
874. Coventry (CVT),6586 (2008 m)
875. Liepaja (LPX),6568 (2002 m)
876. Ronne (RNN),6568 (2002 m)
877. Hanoi (HAN),6562 (2001 m)
878. Bacolod (BCD),6562 (2001 m)
879. Kalgoorlie (KGI),6562 (2001 m)
880. Visby (VBY),6562 (2001 m)
881. Wadi Halfa (WHF),6562 (2001 m)
882. Innsbruck (INN),6562 (2001 m)
883. Tambacounda (TUD),6562 (2001 m)
884. Port Sudan (PZU),6562 (2001 m)
885. Izumo (IZO),6562 (2001 m)
886. Hachijo Jima (HAC),6562 (2001 m)
887. Bundaberg (BDB),6562 (2001 m)
888. Tirgu Mures (TGM),6561 (2000 m)
889. Sept Isles (YZV),6552 (1998 m)
890. White Plains (HPN),6548 (1996 m)
891. Chicago (MDW),6522 (1988 m)
892. Barrow (BRW),6500 (1982 m)
893. Prudhoe Bay (SCC),6500 (1982 m)
894. Kumasi (KMS),6499 (1981 m)
895. Geraldton (GET),6499 (1981 m)
896. Mackay (MKY),6499 (1981 m)
897. Port Elizabeth (PLZ),6496 (1980 m)
898. Saint Paul Island (SNP),6496 (1980 m)
899. Tuguegarao (TUG),6455 (1968 m)
900. Londonderry (LDY),6453 (1967 m)
901. Paro (PBH),6445 (1965 m)
902. Tennant Creek (TCA),6427 (1959 m)
903. Norfolk Island (NLK),6398 (1951 m)
904. Aberdeen (ABZ),6394 (1949 m)
905. Grand Turk (GDT),6362 (1940 m)
906. Longreach (LRE),6352 (1937 m)
907. Wellington (WLG),6350 (1936 m)
908. East London (ELS),6348 (1935 m)
909. Dzaoudzi (DZA),6330 (1930 m)
910. Panama City (PFN),6308 (1923 m)
911. Dunedin (DUD),6234 (1901 m)
912. Eilat (ETH),6234 (1901 m)
913. Tessenei (TES),6234 (1901 m)
914. Cuenca (CUE),6234 (1901 m)
915. Saint Lucia (SLU),6227 (1898 m)
916. Vorkuta (VKT),6217 (1895 m)
917. Inverness (INV),6191 (1888 m)
918. Mitu (MVP),6168 (1880 m)
919. Leticia (LET),6168 (1880 m)
920. Blackpool (BLK),6132 (1870 m)
921. Cincinnati (LUK),6101 (1860 m)
922. Carson City (CSN),6100 (1860 m)
923. Dili (DIL),6070 (1851 m)
924. Lampedusa (LMP),6070 (1851 m)
925. Norwich (NWI),6040 (1841 m)
926. Kristiansund (KSU),6037 (1841 m)
927. Devonport (DPO),6030 (1838 m)
928. Isle of Man (IOM),6027 (1838 m)
929. San Jose (SJI),6024 (1837 m)
930. Cayman Brac (CYB),6010 (1832 m)
931. Jackson (MKL),6006 (1831 m)
932. Pohnpei (PNI),6001 (1830 m)
933. Gibraltar (GIB),6000 (1829 m)
934. Yap (YAP),6000 (1829 m)
935. Kununurra (KNX),6000 (1829 m)
936. Hay River (YHY),6000 (1829 m)
937. Baudette (BDE),6000 (1829 m)
938. Prince Rupert (YPR),6000 (1829 m)
939. Sault Ste. Marie (YAM),5991 (1827 m)
940. Zinder (ZND),5988 (1826 m)
941. Tauranga (TRG),5988 (1826 m)
942. Araguaina (AUX),5912 (1802 m)
943. Modesto (MOD),5911 (1802 m)
944. Quelimane (UEL),5906 (1801 m)
945. Bossangoa (BSN),5906 (1801 m)
946. Groningen (GRQ),5906 (1801 m)
947. Suceava (SCV),5906 (1801 m)
948. Bussellton (BQB),5906 (1801 m)
949. Albany (ALH),5905 (1800 m)
950. Canakkale (CKZ),5905 (1800 m)
951. Torshavn (FAE),5902 (1799 m)
952. Tartu (TAY),5902 (1799 m)
953. Queenstown (ZQN),5830 (1777 m)
954. Siwa (SEW),5820 (1774 m)
955. Oxford (OXC),5800 (1768 m)
956. Bossaso (BSA),5794 (1766 m)
957. Rotorua (ROT),5781 (1763 m)
958. Kosrae (KSA),5751 (1753 m)
959. Hastings (NPE),5741 (1750 m)
960. Moanda (MGX),5741 (1750 m)
961. Vitoria (VIX),5741 (1750 m)
962. Ceduna (CED),5709 (1741 m)
963. Santa Ana (SNA),5701 (1738 m)
964. Derby (DRB),5695 (1736 m)
965. Bern (BRN),5676 (1730 m)
966. Roros (RRS),5643 (1720 m)
967. Dubbo (DBO),5604 (1709 m)
968. Jersey (JER),5597 (1706 m)
969. Griffith (GFF),5590 (1704 m)
970. Temuco (ZCO),5577 (1700 m)
971. Whyalla (WYA),5531 (1686 m)
972. Baguio (BAG),5512 (1680 m)
973. Carnarvon (CVQ),5509 (1680 m)
974. Balikesir (MQJ),5504 (1678 m)
975. Sacramento (SAC),5503 (1678 m)
976. Olympia (OLM),5501 (1677 m)
977. Normanton (NTN),5499 (1677 m)
978. Anguilla (AXA),5463 (1666 m)
979. Port Augusta (PUG),5413 (1650 m)
980. Gilgit (GIL),5400 (1646 m)
981. Newport (ONP),5398 (1646 m)
982. Renton (RNT),5382 (1641 m)
983. Guarapuava (GPB),5315 (1620 m)
984. Barreiras (BRA),5300 (1616 m)
985. Moree (MRZ),5292 (1613 m)
986. Itaituba (ITB),5266 (1605 m)
987. Sinop (OPS),5249 (1600 m)
988. Hiva Oa (HIX),5249 (1600 m)
989. Port Macquarie (PQQ),5249 (1600 m)
990. Matadi (MAT),5184 (1580 m)
991. Bodrum (BXN),5151 (1570 m)
992. Reykjavik (RKV),5141 (1567 m)
993. Bourges (BOU),5085 (1550 m)
994. Calais (CQF),5036 (1535 m)
995. Matagami (YNM),5001 (1525 m)
996. Augusta (AUG),5001 (1525 m)
997. Funafuti (FUN),5000 (1524 m)
998. Mount Gambier (MGB),5000 (1524 m)
999. Mayaguez (MAZ),4998 (1524 m)
1000. Antwerp (ANR),4954 (1510 m)
1001. Maan (MPQ),4953 (1510 m)
1002. London (LCY),4948 (1509 m)
1003. Bora Bora (BOB),4921 (1500 m)
1004. San Jose Del Gua (SJE),4921 (1500 m)
1005. Ndele (NDL),4921 (1500 m)
1006. Ghanzi (GNZ),4921 (1500 m)
1007. Pecs (QPJ),4921 (1500 m)
1008. Chitre (CTD),4921 (1500 m)
1009. Shetland Islands (LSI),4921 (1500 m)
1010. Esperance (EPR),4921 (1500 m)
1011. Hornafjordur (HFN),4921 (1500 m)
1012. Port Lincoln (PLO),4918 (1499 m)
1013. Quilpie (ULP),4898 (1493 m)
1014. Key West (EYW),4801 (1464 m)
1015. Guernsey (GCI),4800 (1463 m)
1016. Wilhelmshaven (WVN),4787 (1459 m)
1017. Kirkwall (KOI),4685 (1428 m)
1018. Toowoomba (TWB),4597 (1402 m)
1019. Saint Vincent (SVD),4596 (1401 m)
1020. Nabire (NBX),4593 (1400 m)
1021. Munda (MUA),4593 (1400 m)
1022. Flores Island (FLW),4593 (1400 m)
1023. Dundee (DND),4593 (1400 m)
1024. Noumea (GEA),4531 (1381 m)
1025. Wanganui (WAG),4501 (1372 m)
1026. Bathurst (ZBF),4500 (1372 m)
1027. Swansea (SWS),4429 (1350 m)
1028. Nelson (NSN),4419 (1347 m)
1029. Haifa (HFA),4324 (1318 m)
1030. New Plymouth (NPL),4298 (1310 m)
1031. Puerto Aisen (WPA),4265 (1300 m)
1032. Teniente (TNM),4239 (1292 m)
1033. Ambanja (IVA),4140 (1262 m)
1034. Mutare (UTA),4100 (1250 m)
1035. Hokitika (HKK),4045 (1233 m)
1036. Nevis (NEV),3996 (1218 m)
1037. Toronto (YTZ),3988 (1216 m)
1038. Airlie Beach (WCY),3986 (1215 m)
1039. Taytay (RZP),3937 (1200 m)
1040. Save (SVF),3937 (1200 m)
1041. Dwangwa (DWA),3937 (1200 m)
1042. Portoroz (POW),3937 (1200 m)
1043. Tres Arroyos (OYO),3934 (1199 m)
1044. Sligo (SXL),3933 (1199 m)
1045. Dutch Harbor (DUT),3900 (1189 m)
1046. Plymouth (PLH),3806 (1160 m)
1047. Tacurembo (TAW),3806 (1160 m)
1048. Talca (TLX),3660 (1116 m)
1049. Lifou (LIF),3609 (1100 m)
1050. Whangarei (WRE),3599 (1097 m)
1051. Springbok (SBU),3399 (1036 m)
1052. Montserrat (MNI),3340 (1018 m)
1053. Compton (CPM),3322 (1013 m)
1054. Miquelon (MQC),3281 (1000 m)
1055. Cameta (CMT),3281 (1000 m)
1056. Nuuk (GOH),3100 (945 m)
1057. Kerema (KMA),3097 (944 m)
1058. Kilkenny (KKY),3051 (930 m)
1059. Roseau (DCF),2999 (914 m)
1060. Portimao (PRM),2822 (860 m)
1061. Lands End (LEQ),2598 (792 m)
1062. Castlebar (CLB),2400 (732 m)
1063. Valparaiso (VAP),2297 (700 m)
1064. New Nickerie (ICK),2297 (700 m)
1065. Wexford (WEX),2247 (685 m)
1066. Basse Terre (BBR),2034 (620 m)
1067. Aneityum (AUY),2001 (610 m)
1068. Isles Of Scilly (ISC),1969 (600 m)
1069. Yasawa (YAS),1950 (595 m)
1070. Courchevel (CVF),1722 (525 m)
1071. Jabot (JAT),1 (0 m)
1072. Andorra La Vella (ALV),1 (0 m)
1073. Muharraq (GBQ),1 (0 m)
1074. Road Town (RAD),1 (0 m)
1075. Narsaq (JNS),1 (0 m)
1076. Monte Carlo (MCM),1 (0 m)
1077. Mukalla (MKX),1 (0 m)
1078. Chingola (CGJ),1 (0 m)
